"listGender","listGenderTreatment","directGender","attentionCheck","gender","education","age","ageGroup","selfPlacement","motherTongue","region","weight"
1,0,1,1,"Woman","University degree",44,"40-49",6,"English","West",2.68853802353197e-05
1,1,0,1,"Man","High school or below",59,"50-64",0,"English","West",0.000173241949751213
1,1,1,1,"Woman","University degree",25,"18-29",8,"Other language","Ontario",4.50187100928812e-05
3,1,1,1,"Man","University degree",24,"18-29",8,"English","Ontario",1.17198261779805e-05
2,0,1,1,"Woman","College",56,"50-64",5,"English","Atlantic",9.88237317539609e-05
2,0,1,1,"Woman","High school or below",21,"18-29",8,"English","Ontario",0.000208409160560641
2,0,1,1,"Man","College",73,"65+",3,"English","Ontario",6.78452284147424e-05
0,1,1,1,"Man","University degree",54,"50-64",5,"French","Quebec",7.11432615685403e-06
0,0,1,1,"Woman","High school or below",21,"18-29",6,"English","West",0.000163297880725222
1,0,1,1,"Man","College",25,"18-29",6,"English","West",2.83406911059103e-05
3,1,1,1,"Man","College",56,"50-64",7,"English","West",2.94201435366848e-05
2,0,1,1,"Man","University degree",77,"65+",3,"French","Quebec",7.58956753632578e-06
2,1,1,1,"Woman","University degree",70,"65+",5,"French","Quebec",1.25786453858412e-05
3,1,1,1,"Man","University degree",65,"65+",6,"French","Quebec",7.58956753632578e-06
4,1,1,1,"Woman","College",68,"65+",5,"English","West",5.65889670075537e-05
1,0,1,1,"Man","University degree",71,"65+",3,"English","West",8.31655962507671e-06
2,0,1,1,"Man","College",42,"40-49",5,"Other language","Quebec",2.24679386618964e-05
3,1,1,1,"Man","College",46,"40-49",7,"Other language","Quebec",2.24679386618964e-05
2,1,1,1,"Man","University degree",68,"65+",10,"Other language","West",1.30241936984188e-05
2,0,1,1,"Woman","University degree",23,"18-29",7,"English","Ontario",1.96249138514348e-05
1,0,1,1,"Woman","University degree",63,"50-64",6,"English","Ontario",2.03723960099378e-05
3,1,1,1,"Woman","College",22,"18-29",7,"French","Quebec",4.33082215146596e-05
2,0,1,1,"Man","College",57,"50-64",3,"French","Quebec",2.21834473923543e-05
2,0,1,1,"Man","College",52,"50-64",2,"English","West",6.0933849135858e-05
2,1,1,1,"Man","High school or below",36,"30-39",10,"English","West",8.36250303141162e-05
2,1,1,1,"Woman","High school or below",56,"50-64",5,"English","West",0.00035109829859592
4,1,1,1,"Man","High school or below",69,"65+",0,"English","West",0.000151139333599448
2,1,1,1,"Man","College",41,"40-49",5,"English","West",4.95513072521492e-05
3,1,1,1,"Man","College",65,"65+",6,"English","West",2.1207044799576e-05
2,0,1,1,"Man","High school or below",61,"50-64",0,"English","West",0.000173241949751213
2,1,1,1,"Man","College",71,"65+",6,"Other language","Ontario",6.20871461416428e-05
0,0,1,1,"Woman","University degree",63,"50-64",4,"English","Ontario",5.10675483731404e-05
3,1,1,1,"Woman","University degree",50,"50-64",6,"Other language","Quebec",8.67028345430398e-06
2,1,1,1,"Woman","University degree",27,"18-29",7,"French","Quebec",1.69837622303604e-05
3,0,1,1,"Man","University degree",71,"65+",5,"Other language","West",1.57630379122864e-05
3,1,1,1,"Woman","University degree",52,"50-64",10,"English","Ontario",2.03723960099378e-05
3,1,1,1,"Man","University degree",41,"40-49",7,"English","West",1.60557129306182e-05
1,0,1,1,"Woman","University degree",35,"30-39",7,"English","Quebec",5.59233205621457e-06
3,1,1,1,"Woman","University degree",44,"40-49",7,"English","West",2.55882428015219e-05
2,1,1,1,"Man","College",35,"30-39",6,"English","West",7.37300855195855e-05
3,1,1,1,"Woman","University degree",69,"65+",6,"English","Ontario",2.15107534915493e-05
2,0,0,1,"Man","High school or below",44,"40-49",0,"English","West",0.000291785288891289
3,1,1,1,"Woman","University degree",61,"50-64",7,"English","West",1.93194575165423e-05
2,1,1,1,"Woman","College",75,"65+",2,"English","West",0.000107735471129855
1,0,1,1,"Woman","College",41,"40-49",2,"English","West",0.000100422442107173
2,1,1,1,"Man","College",74,"65+",4,"English","West",2.01838696973766e-05
3,1,1,1,"Man","High school or below",18,"18-29",2,"English","West",0.000166885541477813
2,0,1,1,"Man","University degree",27,"18-29",6,"Other language","West",1.43810983276316e-05
1,1,1,1,"Man","University degree",38,"30-39",2,"English","West",2.38901686574478e-05
1,1,1,1,"Man","College",58,"50-64",5,"English","Atlantic",4.87624578051626e-05
2,1,1,1,"Woman","High school or below",33,"30-39",5,"English","West",0.000424829679207539
2,1,1,1,"Man","College",33,"30-39",7,"English","West",2.94131703577616e-05
2,1,1,1,"Man","College",53,"50-64",5,"English","West",2.94201435366848e-05
3,0,1,1,"Man","University degree",74,"65+",7,"English","Ontario",8.76982420328076e-06
1,1,1,1,"Man","College",51,"50-64",5,"English","West",6.0933849135858e-05
2,1,1,1,"Woman","University degree",23,"18-29",7,"English","Ontario",2.37518166750217e-05
4,1,1,1,"Man","University degree",48,"40-49",2,"French","Ontario",0.000133767936696283
3,1,1,1,"Man","University degree",52,"50-64",5,"French","Quebec",7.18792465614904e-06
2,0,1,1,"Man","University degree",37,"30-39",5,"Other language","Quebec",5.23014227582497e-06
1,0,1,1,"Woman","University degree",36,"30-39",6,"English","West",2.33765841988198e-05
2,0,1,1,"Man","College",52,"50-64",8,"English","Ontario",3.75475014791071e-05
1,0,1,1,"Man","University degree",50,"50-64",3,"French","Quebec",1.8017993067776e-05
2,0,1,1,"Man","University degree",37,"30-39",5,"Other language","Ontario",2.79021622903164e-05
2,1,1,1,"Woman","University degree",37,"30-39",10,"French","Quebec",1.74459875528221e-05
2,1,1,1,"Man","College",28,"18-29",2,"French","Quebec",5.35670323360549e-05
1,0,1,1,"Man","University degree",25,"18-29",7,"Other language","Quebec",5.03943794138983e-06
2,0,1,1,"Man","University degree",61,"50-64",7,"French","Quebec",7.11432615685403e-06
0,0,1,1,"Man","College",32,"30-39",5,"English","Ontario",3.75386019491053e-05
4,1,1,1,"Man","High school or below",21,"18-29",6,"English","Ontario",0.000102835044960115
1,1,1,1,"Woman","University degree",68,"65+",6,"English","Atlantic",2.79357392148905e-05
3,1,1,1,"Woman","University degree",24,"18-29",9,"Other language","Quebec",8.43856674648258e-06
2,0,1,1,"Man","High school or below",20,"18-29",8,"English","West",8.05758483028995e-05
3,1,1,1,"Man","University degree",65,"65+",8,"Other language","Quebec",3.73234751815943e-06
2,0,1,1,"Woman","University degree",39,"30-39",8,"Other language","Ontario",4.67223253061144e-05
1,0,0,1,"Woman","University degree",22,"18-29",8,"Other language","Ontario",3.7196662443284e-05
2,0,1,1,"Woman","University degree",76,"65+",8,"Other language","Ontario",4.07710445297083e-05
2,0,1,1,"Man","College",22,"18-29",7,"English","West",2.34164665824377e-05
2,0,1,1,"Man","University degree",72,"65+",7,"English","West",6.87154875000928e-06
2,0,1,1,"Man","University degree",29,"18-29",4,"French","Quebec",8.38027439797884e-06
1,0,1,1,"Man","High school or below",52,"50-64",5,"French","Quebec",6.30700954061814e-05
